"items in your cart","Items en tu carrito"
"View Cart ","Ver carrito",module,Codazon_GoogleAmpManager
"You have no items in your shopping cart.","No tenés productos en tu carrito.",module,Codazon_GoogleAmpManager
Remove,Quitar,module,Codazon_GoogleAmpManager
"See Details","Ver detalles",module,Codazon_GoogleAmpManager
"Your cart was updated.","Tu carrito fue actualizado.",module,Codazon_GoogleAmpManager
Qty,Cant.,module,Codazon_GoogleAmpManager
Update,Actualizar,module,Codazon_GoogleAmpManager
"Cart Subtotal","Subtotal del carrito",module,Codazon_GoogleAmpManager
"Go to Checkout","Finalizar compra",module,Codazon_GoogleAmpManager
"Go to top","Ir arriba",module,Codazon_GoogleAmpManager
"Items %1 to %2 of %3 total","Productos %1 al %2 de %3 en total",module,Codazon_GoogleAmpManager
"%1 Item","%1 Producto",module,Codazon_GoogleAmpManager
"%1 Item(s)","%1 Producto(s)",module,Codazon_GoogleAmpManager
Page,Página,module,Codazon_GoogleAmpManager
Previous,Anterior,module,Codazon_GoogleAmpManager
Next,Siguiente,module,Codazon_GoogleAmpManager
Show,Mostrar,module,Codazon_GoogleAmpManager
"per page","por página",module,Codazon_GoogleAmpManager
"Sign Up for Our Newsletter","Suscribite a nuestro Newsletter",module,Codazon_GoogleAmpManager
"Enter your email address","Ingresá tu correo electrónico",module,Codazon_GoogleAmpManager
Subscribe,Suscribirme,module,Codazon_GoogleAmpManager
"Shop by Category","Comprar por categoría",module,Codazon_GoogleAmpManager
"Now Shopping by","Estás comprando por",module,Codazon_GoogleAmpManager
"Remove This Item","Quitar este producto",module,Codazon_GoogleAmpManager
"Clear All","Limpiar todo",module,Codazon_GoogleAmpManager
"Open filters list","Abrir lista de filtros",module,Codazon_GoogleAmpManager
"Change Condition","Cambiar condición",module,Codazon_GoogleAmpManager
"Filter by","Filtrar por",module,Codazon_GoogleAmpManager
"Clear all filters","Limpiar todos los filtros",module,Codazon_GoogleAmpManager
Clear,Limpiar,module,Codazon_GoogleAmpManager
"Apply filters","Aplicar filtros",module,Codazon_GoogleAmpManager
Apply,Aplicar,module,Codazon_GoogleAmpManager
Adding...,Agregando...,module,Codazon_GoogleAmpManager
"View details","Ver detalles",module,Codazon_GoogleAmpManager
"We can't find products matching the selection.","No encontramos productos que coincidan con la selección.",module,Codazon_GoogleAmpManager
"Related Products","Productos relacionados",module,Codazon_GoogleAmpManager
"We found other products you might like!","¡Encontramos otros productos que te pueden gustar!",module,Codazon_GoogleAmpManager
"More Choices:","Más opciones:",module,Codazon_GoogleAmpManager
"New Products","Productos nuevos",module,Codazon_GoogleAmpManager
"Choose an Option...","Elegí una opción...",module,Codazon_GoogleAmpManager
Filter,Filtrar,module,Codazon_GoogleAmpManager
"Set Ascending Direction","Establecer orden ascendente",module,Codazon_GoogleAmpManager
"Set Descending Direction","Establecer orden descendente",module,Codazon_GoogleAmpManager
"Add to Cart","Agregar al carrito",module,Codazon_GoogleAmpManager
"More Information","Más información",module,Codazon_GoogleAmpManager
sample,muestra,module,Codazon_GoogleAmpManager
"Select all","Seleccionar todo",module,Codazon_GoogleAmpManager
"Unselect all","Deseleccionar todo",module,Codazon_GoogleAmpManager
"Adding ...","Agregando ...",module,Codazon_GoogleAmpManager
"View cart","Ver carrito",module,Codazon_GoogleAmpManager
"Customize and Add to Cart","Personalizar y agregar al carrito",module,Codazon_GoogleAmpManager
"Write a review","Escribir una reseña",module,Codazon_GoogleAmpManager
"You're reviewing:","Estás calificando:",module,Codazon_GoogleAmpManager
"%1 %2","%1 %2",module,Codazon_GoogleAmpManager
Nickname,Apodo,module,Codazon_GoogleAmpManager
Summary,Resumen,module,Codazon_GoogleAmpManager
Review,Reseña,module,Codazon_GoogleAmpManager
"Submit Review","Enviar reseña",module,Codazon_GoogleAmpManager
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Solo usuarios registrados pueden escribir reseñas. Por favor <a href=""%1"">Iniciá sesión</a> o <a href=""%2"">creá una cuenta</a>",module,Codazon_GoogleAmpManager
Reviews,Reseñas,module,Codazon_GoogleAmpManager
"Be the first to review this product","Sé el primero en calificar este producto",module,Codazon_GoogleAmpManager
Hide,Ocultar,module,Codazon_GoogleAmpManager
"See more","Ver más",module,Codazon_GoogleAmpManager
"Product Name","Nombre del producto",module,Codazon_GoogleAmpManager
Availability,Disponibilidad,module,Codazon_GoogleAmpManager
"No options of this product are available.","No hay opciones disponibles para este producto.",module,Codazon_GoogleAmpManager
Back,Volver,module,Codazon_Lookbookpro
"Delete Lookbook","Eliminar Lookbook",module,Codazon_Lookbookpro
"Are you sure you want to do this?","¿Estás seguro de que querés hacer esto?",module,Codazon_Lookbookpro
Reset,Reiniciar,module,Codazon_Lookbookpro
"Save and Continue Edit","Guardar y continuar editando",module,Codazon_Lookbookpro
"Save Lookbook","Guardar Lookbook",module,Codazon_Lookbookpro
ID,ID,module,Codazon_Lookbookpro
Name,Nombre,module,Codazon_Lookbookpro
Position,Posición,module,Codazon_Lookbookpro
Action,Acción,module,Codazon_Lookbookpro
Edit,Editar,module,Codazon_Lookbookpro
Root,Raíz,module,Codazon_Lookbookpro
Delete,Eliminar,module,Codazon_Lookbookpro
Save,Guardar,module,Codazon_Lookbookpro
"Add Subcategory","Agregar subcategoría",module,Codazon_Lookbookpro
"Add Root Category","Agregar categoría raíz",module,Codazon_Lookbookpro
"Delete Item","Eliminar ítem",module,Codazon_Lookbookpro
"Save Item","Guardar ítem",module,Codazon_Lookbookpro
Date,Fecha,module,Codazon_Lookbookpro
Home,Inicio,module,Codazon_Lookbookpro
"Go to Home Page","Ir a la página de inicio",module,Codazon_Lookbookpro
"All Lookbooks","Todos los Lookbooks",module,Codazon_Lookbookpro
"Please select item(s).","Por favor seleccioná los ítems.",module,Codazon_Lookbookpro
"A total of %1 record(s) have been changed status.","Un total de %1 registros han cambiado de estado.",module,Codazon_Lookbookpro
"Lookbook image cache was cleared.","Se limpió el caché de imágenes de Lookbook.",module,Codazon_Lookbookpro
"This Lookbook no longer exists.","Este Lookbook ya no existe.",module,Codazon_Lookbookpro
"Edit Lookbook","Editar Lookbook",module,Codazon_Lookbookpro
"New Lookbook","Nuevo Lookbook",module,Codazon_Lookbookpro
Lookbook,Lookbook,module,Codazon_Lookbookpro
"Lookbook Pro","Lookbook Pro",module,Codazon_Lookbookpro
"A total of %1 record(s) have been deleted.","Un total de %1 registros fueron eliminados.",module,Codazon_Lookbookpro
"A total of %1 record(s) have been disabled.","Un total de %1 registros fueron deshabilitados.",module,Codazon_Lookbookpro
"A total of %1 record(s) have been enabled.","Un total de %1 registros fueron habilitados.",module,Codazon_Lookbookpro
"This Lookbook Category no longer exists.","Esta categoría de Lookbook ya no existe.",module,Codazon_Lookbookpro
"Edit Lookbook Category","Editar categoría de Lookbook",module,Codazon_Lookbookpro
"Lookbook Category","Categoría de Lookbook",module,Codazon_Lookbookpro
"Category is not available for requested store.","La categoría no está disponible para la tienda solicitada.",module,Codazon_Lookbookpro
"There was a category move error.","Hubo un error al mover la categoría.",module,Codazon_Lookbookpro
"You moved the category.","Moviste la categoría.",module,Codazon_Lookbookpro
"New Lookbook Category","Nueva categoría de Lookbook",module,Codazon_Lookbookpro
"This item no longer exists.","Este ítem ya no existe.",module,Codazon_Lookbookpro
"New Item","Nuevo ítem",module,Codazon_Lookbookpro
"Lookbook Item","Ítem de Lookbook",module,Codazon_Lookbookpro
Grid,Grilla,module,Codazon_Lookbookpro
List,Lista,module,Codazon_Lookbookpro
All,Todo,module,Codazon_Lookbookpro
Enabled,Habilitado,module,Codazon_Lookbookpro
Disabled,Deshabilitado,module,Codazon_Lookbookpro
"All categories","Todas las categorías",module,Codazon_Lookbookpro
"Sub categories","Subcategorías",module,Codazon_Lookbookpro
"Something went wrong while saving the file(s).","Algo salió mal al guardar los archivos.",module,Codazon_Lookbookpro
"File can not be saved to the destination folder.","El archivo no se puede guardar en la carpeta de destino.",module,Codazon_Lookbookpro
"Something went wrong while getting the image url.","Algo salió mal al obtener la URL de la imagen.",module,Codazon_Lookbookpro
[GLOBAL],[GLOBAL],module,Codazon_Lookbookpro
[WEBSITE],[WEBSITE],module,Codazon_Lookbookpro
"[STORE VIEW]","[VISTA DE TIENDA]",module,Codazon_Lookbookpro
"Sorry, but we can't find the new parent category you selected.","Perdón, pero no podemos encontrar la nueva categoría padre que seleccionaste.",module,Codazon_Lookbookpro
"Sorry, but we can't find the new category you selected.","Perdón, pero no podemos encontrar la nueva categoría que seleccionaste.",module,Codazon_Lookbookpro
"We can't move the category because the parent category name matches the child category name.","No podemos mover la categoría porque el nombre de la categoría padre coincide con el de la categoría hija.",module,Codazon_Lookbookpro
"Can't delete root category.","No se puede eliminar la categoría raíz.",module,Codazon_Lookbookpro
"Attribute '%1' is locked. %2","El atributo '%1' está bloqueado. %2",module,Codazon_Lookbookpro
"Are you sure you wan't to delete this record?","¿Estás seguro de que querés eliminar este registro?",module,Codazon_Lookbookpro
Preview,Previsualizar,module,Codazon_Lookbookpro
"This operation can take a long time","Esta operación puede tardar mucho tiempo",module,Codazon_Lookbookpro
"Collapse All","Contraer todo",module,Codazon_Lookbookpro
"Expand All","Expandir todo",module,Codazon_Lookbookpro
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirmá el cambio de sitio. Todos los datos que no hayan sido guardados se perderán.",module,Codazon_Lookbookpro
"Lookbook Categories","Categorías de Lookbook",module,Codazon_Lookbookpro
Category,Categoría,module,Codazon_Lookbookpro
"Shop the look","Comprá el look",module,Codazon_Lookbookpro
Buy,Comprar,module,Codazon_Lookbookpro
Close,Cerrar,module,Codazon_Lookbookpro
"More Detail","Más detalle",module,Codazon_Lookbookpro
"There is no loookbook belong to this category.","No hay ningún lookbook que pertenezca a esta categoría.",module,Codazon_Lookbookpro
"Share on Facebook","Compartir en Facebook",module,Codazon_Lookbookpro
"Share on Twitter","Compartir en Twitter",module,Codazon_Lookbookpro
"Share on LinkedIn","Compartir en LinkedIn",module,Codazon_Lookbookpro
"Share on Pinterest","Compartir en Pinterest",module,Codazon_Lookbookpro
"We can't find looks matching the selection.","No podemos encontrar looks que coincidan con la selección.",module,Codazon_Lookbookpro
"Save Menu","Guardar menú",module,Codazon_MegaMenu
Duplicate,Duplicar,module,Codazon_MegaMenu
"Save and Continue Edit","Guardar y continuar editando",module,Codazon_MegaMenu
Delete,Eliminar,module,Codazon_MegaMenu
"Edit Menu '%1'","Editar menú '%1'",module,Codazon_MegaMenu
"New Menu","Nuevo menú",module,Codazon_MegaMenu
"Width %1 %2: %3 px","Ancho %1 %2: %3 px",module,Codazon_MegaMenu
"Item Link","Link del ítem",module,Codazon_MegaMenu
"<i class=""fa fa-link""></i>","<i class=""fa fa-link""></i>",module,Codazon_MegaMenu
"Menu Item Title","Título del ítem de menú",module,Codazon_MegaMenu
"Menu Item URL","URL del ítem de menú",module,Codazon_MegaMenu
"Custom CSS Class","Clase CSS personalizada",module,Codazon_MegaMenu
"Link attribute","Atributo del link",module,Codazon_MegaMenu
"Title Custom Background","Fondo personalizado del título",module,Codazon_MegaMenu
"Title Custom Color","Color personalizado del título",module,Codazon_MegaMenu
"Item Tag","Etiqueta del ítem",module,Codazon_MegaMenu
"Tag Background","Fondo de la etiqueta",module,Codazon_MegaMenu
"Tag Color","Color de la etiqueta",module,Codazon_MegaMenu
"Menu Icon Item","Ícono del ítem de menú",module,Codazon_MegaMenu
"Icon Item use","Uso de ícono del ítem",module,Codazon_MegaMenu
"Get icon from Awesome font Library","Obtener ícono de la librería Font Awesome",module,Codazon_MegaMenu
"Get icon from Image library or other URL","Obtener ícono de la librería de imágenes u otra URL",module,Codazon_MegaMenu
"Image Icons Library","Librería de íconos de imagen",module,Codazon_MegaMenu
"Dropdown Content","Contenido desplegable",module,Codazon_MegaMenu
"<i class=""fa fa-file-code-o""></i>","<i class=""fa fa-file-code-o""></i>",module,Codazon_MegaMenu
"Custom CSS Inline Style","Estilo CSS en línea personalizado",module,Codazon_MegaMenu
"Dropdown Width","Ancho del desplegable",module,Codazon_MegaMenu
Layout,Diseño,module,Codazon_MegaMenu
"<span style=""margin-top: 12.5px;display: inline-block;"">Background for content</span>","<span style=""margin-top: 12.5px;display: inline-block;"">Fondo para el contenido</span>",module,Codazon_MegaMenu
"Click to view example","Hacé clic para ver el ejemplo",module,Codazon_MegaMenu
Image,Imagen,module,Codazon_MegaMenu
Position,Posición,module,Codazon_MegaMenu
"Left - Top","Izquierda - Arriba",module,Codazon_MegaMenu
"Left - Bottom","Izquierda - Abajo",module,Codazon_MegaMenu
"Right - Top","Derecha - Arriba",module,Codazon_MegaMenu
"Right - Bottom","Derecha - Abajo",module,Codazon_MegaMenu
"X (px)","X (px)",module,Codazon_MegaMenu
"Y (px)","Y (px)",module,Codazon_MegaMenu
"Tabs Container","Contenedor de pestañas",module,Codazon_MegaMenu
"<i class=""fa fa-folder-o""></i>","<i class=""fa fa-folder-o""></i>",module,Codazon_MegaMenu
"Tabs Width","Ancho de pestañas",module,Codazon_MegaMenu
"Tab type","Tipo de pestaña",module,Codazon_MegaMenu
Horizontal,Horizontal,module,Codazon_MegaMenu
Vertical,Vertical,module,Codazon_MegaMenu
"Tab Item","Ítem de pestaña",module,Codazon_MegaMenu
"Tab Title","Título de pestaña",module,Codazon_MegaMenu
"Tab URL","URL de pestaña",module,Codazon_MegaMenu
"Tab Content","Contenido de pestaña",module,Codazon_MegaMenu
"Categories List","Lista de categorías",module,Codazon_MegaMenu
"<i class=""fa fa-th-list""></i>","<i class=""fa fa-th-list""></i>",module,Codazon_MegaMenu
URL,URL,module,Codazon_MegaMenu
"Parent Cat ID","ID de cat. padre",module,Codazon_MegaMenu
"Display Type","Tipo de visualización",module,Codazon_MegaMenu
"Show categories list as a drop down menu of item title","Mostrar lista de categorías como un menú desplegable del título del ítem",module,Codazon_MegaMenu
"Show categories list just below item title","Mostrar lista de categorías justo debajo del título del ítem",module,Codazon_MegaMenu
"Display as a range of child categories (not display parent item)","Mostrar como un rango de categorías hijas (no mostrar ítem padre)",module,Codazon_MegaMenu
"Split column if the number of sub categories is larger than","Dividir columna si el número de subcategorías es mayor a",module,Codazon_MegaMenu
"Leave empty to show all items under a column","Dejá vacío para mostrar todos los ítems en una columna",module,Codazon_MegaMenu
"Bootstrap Row","Fila de Bootstrap",module,Codazon_MegaMenu
"<i class=""fa fa-bars""></i>","<i class=""fa fa-bars""></i>",module,Codazon_MegaMenu
"Bootstrap Column","Columna de Bootstrap",module,Codazon_MegaMenu
"<i class=""fa fa-columns""></i>","<i class=""fa fa-columns""></i>",module,Codazon_MegaMenu
"Aplly for All","Aplicar a todo",module,Codazon_MegaMenu
"Image - Title - Paragraph","Imagen - Título - Párrafo",module,Codazon_MegaMenu
"Image - Title - List","Imagen - Título - Lista",module,Codazon_MegaMenu
"Title - Paragraph","Título - Párrafo",module,Codazon_MegaMenu
"Title - List","Título - Lista",module,Codazon_MegaMenu
"Title - Paragraph - Image","Título - Párrafo - Imagen",module,Codazon_MegaMenu
"Title - List - Image","Título - Lista - Imagen",module,Codazon_MegaMenu
"Menu Information","Información del menú",module,Codazon_MegaMenu
"General Settings","Configuración general",module,Codazon_MegaMenu
Title,Título,module,Codazon_MegaMenu
Identifier,Identificador,module,Codazon_MegaMenu
"Menu type","Tipo de menú",module,Codazon_MegaMenu
Toggle,Alternar,module,Codazon_MegaMenu
"Vertical - Type 2","Vertical - Tipo 2",module,Codazon_MegaMenu
"Wrapper CSS Class","Clase CSS del contenedor",module,Codazon_MegaMenu
"Dropdown Style","Estilo del desplegable",module,Codazon_MegaMenu
"Dropdown Animation","Animación del desplegable",module,Codazon_MegaMenu
"Full Width/Height","Ancho/Alto total",module,Codazon_MegaMenu
Fade,Desvanecer,module,Codazon_MegaMenu
Slide,Deslizar,module,Codazon_MegaMenu
Enabled,Habilitado,module,Codazon_MegaMenu
Disabled,Deshabilitado,module,Codazon_MegaMenu
Status,Estado,module,Codazon_MegaMenu
"Please select item(s).","Por favor seleccioná los ítems.",module,Codazon_MegaMenu
"The menu has been deleted.","El menú ha sido eliminado.",module,Codazon_MegaMenu
"We can't find a menu to delete.","No podemos encontrar un menú para eliminar.",module,Codazon_MegaMenu
Megamenu,Megamenú,module,Codazon_MegaMenu
"Manage Menus","Gestionar menús",module,Codazon_MegaMenu
"This menu no longer exists.","Este menú ya no existe.",module,Codazon_MegaMenu
"Edit Menu","Editar menú",module,Codazon_MegaMenu
"A total of %1 record(s) have been deleted.","Un total de %1 registros fueron eliminados.",module,Codazon_MegaMenu
"You duplicate this menu successfully.","Duplicaste este menú con éxito.",module,Codazon_MegaMenu
"You saved this menu.","Guardaste este menú.",module,Codazon_MegaMenu
---,---,module,Codazon_MegaMenu
Edit,Editar,module,Codazon_MegaMenu
"Are you sure you wan't to delete this record?","¿Estás seguro de que querés eliminar este registro?",module,Codazon_MegaMenu
"Web Application Icons","Íconos de aplicación web",module,Codazon_MegaMenu
"Accessibility Icons","Íconos de accesibilidad",module,Codazon_MegaMenu
"Hand Icons","Íconos de manos",module,Codazon_MegaMenu
"Brand Icons","Íconos de marca",module,Codazon_MegaMenu
"File Type Icons","Íconos de tipo de archivo",module,Codazon_MegaMenu
"Text Editor Icons","Íconos de editor de texto",module,Codazon_MegaMenu
"Directional Icons","Íconos de dirección",module,Codazon_MegaMenu
"Video Player Icons","Íconos de reproductor de video",module,Codazon_MegaMenu
"Form Control Icons","Íconos de control de formulario",module,Codazon_MegaMenu
"Chart Icons","Íconos de gráficos",module,Codazon_MegaMenu
"Currency Icons","Íconos de moneda",module,Codazon_MegaMenu
"Gender Icons","Íconos de género",module,Codazon_MegaMenu
"Spinner Icons","Íconos de carga (spinners)",module,Codazon_MegaMenu
"Transportation Icons","Íconos de transporte",module,Codazon_MegaMenu
"Medical Icons","Íconos médicos",module,Codazon_MegaMenu
"Preview Your Megamenu","Previsualizá tu megamenú",module,Codazon_MegaMenu
"Click to view tutorial video","Hacé clic para ver el video tutorial",module,Codazon_MegaMenu
"CDZ Megamenu Tutorial Video","Video tutorial de CDZ Megamenu",module,Codazon_MegaMenu
"Megamenu Structure","Estructura del megamenú",module,Codazon_MegaMenu
"Expand All","Expandir todo",module,Codazon_MegaMenu
"Collapse All","Contraer todo",module,Codazon_MegaMenu
"Select Category...","Seleccionar categoría...",module,Codazon_MegaMenu
Close,Cerrar,module,Codazon_MegaMenu
"Remove Menu Item","Quitar ítem de menú",module,Codazon_MegaMenu
"Add to menu","Agregar al menú",module,Codazon_MegaMenu
"Change Layout","Cambiar diseño",module,Codazon_MegaMenu
"Get image from library or enter other URL","Obtener imagen de la librería o ingresar otra URL",module,Codazon_MegaMenu
Library,Librería,module,Codazon_MegaMenu
"Allow file types: jpg, jpeg, png, gif","Tipos de archivo permitidos: jpg, jpeg, png, gif",module,Codazon_MegaMenu
"Icon Font Library","Librería de íconos de fuente",module,Codazon_MegaMenu
Select,Seleccionar,module,Codazon_MegaMenu
"Wysiwyg Editor","Editor WYSIWYG",module,Codazon_MegaMenu
Widget,Widget,module,Codazon_MegaMenu
"Column Template","Plantilla de columna",module,Codazon_MegaMenu
"Remove Column","Quitar columna",module,Codazon_MegaMenu
"&lt;p&gt;Insert HTML structure&lt;/p&gt;","&lt;p&gt;Insertar estructura HTML&lt;/p&gt;",module,Codazon_MegaMenu
"* Required Fields","* Campos obligatorios",module,Codazon_MegaMenu
Name,Nombre,module,Codazon_MegaMenu
Email,Email,module,Codazon_MegaMenu
"Phone Number","Número de teléfono",module,Codazon_MegaMenu
"What’s on your mind?","¿En qué estás pensando?",module,Codazon_MegaMenu
Submit,Enviar,module,Codazon_MegaMenu
"Go to","Ir a",module,Codazon_MegaMenu
Thumbnail,Miniatura,module,Codazon_ProductFilter
Name,Nombre,module,Codazon_ProductFilter
SKU,SKU,module,Codazon_ProductFilter
Description,Descripción,module,Codazon_ProductFilter
Review,Reseña,module,Codazon_ProductFilter
Price,Precio,module,Codazon_ProductFilter
"Add to cart","Agregar al carrito",module,Codazon_ProductFilter
Wishlist,Lista de deseos,module,Codazon_ProductFilter
Compare,Comparar,module,Codazon_ProductFilter
"Quick Shop","Compra rápida",module,Codazon_ProductFilter
Label,Etiqueta,module,Codazon_ProductFilter
"There is no product recently viewed.","No hay productos vistos recientemente.",module,Codazon_ProductFilter
"We can't find products matching the selection.","No encontramos productos que coincidan con la selección.",module,Codazon_ProductFilter
"Add to Cart","Agregar al carrito",module,Codazon_ProductFilter
"In stock","En stock",module,Codazon_ProductFilter
"Out of stock","Sin stock",module,Codazon_ProductFilter
"Add to Wish List","Agregar a la lista de deseos",module,Codazon_ProductFilter
"Add to Compare","Agregar a comparar",module,Codazon_ProductFilter
"Learn More","Saber más",module,Codazon_ProductFilter
"Products Label","Etiqueta de productos",module,Codazon_ProductLabel
"Add New Label","Agregar nueva etiqueta",module,Codazon_ProductLabel
"Insert Variable...","Insertar variable...",module,Codazon_ProductLabel
[GLOBAL],[GLOBAL],module,Codazon_ProductLabel
"[STORE VIEW]","[VISTA DE TIENDA]",module,Codazon_ProductLabel
"Insert Image","Insertar imagen",module,Codazon_ProductLabel
"Upload Images","Subir imágenes",module,Codazon_ProductLabel
"Save Label","Guardar etiqueta",module,Codazon_ProductLabel
"Save and Continue Edit","Guardar y continuar editando",module,Codazon_ProductLabel
"Delete Label","Eliminar etiqueta",module,Codazon_ProductLabel
